Sample,X(ms) [03.01.2012 22:56:23 658 UTC],"Temperatura"[%MD9]
7084,1325631722858.475880,49.9710083007813
7085,1325631722908.447400,49.9191246032715
7086,1325631722958.438800,49.9954223632813
7087,1325631723008.430440,49.9954223632813
7088,1325631723058.446100,49.9435386657715
7089,1325631723108.519820,49.9954223632813
7090,1325631723158.435700,49.9710083007813
7091,1325631723208.431340,49.9710083007813
7092,1325631723258.453180,50.0198364257813
7093,1325631723308.436020,49.9954223632813
7094,1325631723358.468040,49.9954223632813
7095,1325631723408.444520,49.9710083007813
7096,1325631723458.439580,50.0198364257813
7097,1325631723508.424900,49.9954223632813
7098,1325631723558.442760,49.9710083007813
7099,1325631723608.464100,50.0198364257813
7100,1325631723658.455320,49.9710083007813
7101,1325631723708.455980,49.9710083007813
7102,1325631723758.467340,49.9710083007813
7103,1325631723808.443980,50.0198364257813
7104,1325631723858.469060,49.9710083007813
7105,1325631723908.435720,49.9710083007813
7106,1325631723958.455140,49.9954223632813
7107,1325631724008.433960,49.9954223632813
7108,1325631724058.440560,49.9954223632813
7109,1325631724108.487440,49.9954223632813
7110,1325631724158.430340,49.9710083007813
7111,1325631724208.445860,49.9710083007813
7112,1325631724258.452280,49.9954223632813
7113,1325631724308.428500,49.9710083007813
7114,1325631724358.464120,49.9710083007813
7115,1325631724408.433160,49.9710083007813
7116,1325631724458.444380,49.9710083007813
7117,1325631724508.433280,49.9954223632813
7118,1325631724558.436560,49.9954223632813
7119,1325631724608.472120,49.9954223632813
7120,1325631724658.495620,49.9435386657715
7121,1325631724708.428220,49.9954223632813
7122,1325631724758.480420,49.9710083007813
7123,1325631724808.429160,49.9954223632813
7124,1325631724858.482240,49.9954223632813
7125,1325631724908.438560,49.9710083007813
7126,1325631724958.456320,50.0198364257813
7127,1325631725008.431040,49.9954223632813
7128,1325631725058.434400,49.9954223632813
7129,1325631725108.473040,49.9954223632813
7130,1325631725158.436300,49.9435386657715
7131,1325631725208.430300,49.9954223632813
7132,1325631725258.443120,49.9435386657715
7133,1325631725308.437060,49.9710083007813
7134,1325631725358.489860,49.9954223632813
7135,1325631725408.424700,49.9710083007813
7136,1325631725458.435300,49.9954223632813
7137,1325631725508.429940,50.0198364257813
7138,1325631725558.432380,50.0198364257813
7139,1325631725608.472860,49.9710083007813
7140,1325631725658.456520,49.9435386657715
7141,1325631725708.444500,49.9954223632813
7142,1325631725758.462560,49.9710083007813
7143,1325631725808.439200,49.9954223632813
7144,1325631725858.468140,49.9954223632813
7145,1325631725908.438180,49.9435386657715
7146,1325631725958.445740,49.9954223632813
7147,1325631726008.438400,49.9954223632813
7148,1325631726058.453480,49.9954223632813
7149,1325631726108.465580,49.9954223632813
7150,1325631726158.432500,50.0198364257813
7151,1325631726208.448420,49.9710083007813
7152,1325631726258.435680,50.0198364257813
7153,1325631726308.434120,49.9954223632813
7154,1325631726358.473640,49.9435386657715
7155,1325631726408.495860,49.9435386657715
7156,1325631726458.450620,49.9954223632813
7157,1325631726508.440180,49.9710083007813
7158,1325631726558.439160,49.9710083007813
7159,1325631726608.464600,50.0198364257813
7160,1325631726658.437900,49.9435386657715
7161,1325631726708.459540,49.9954223632813
7162,1325631726758.439960,49.9954223632813
7163,1325631726808.425620,49.9954223632813
7164,1325631726858.527140,49.9710083007813
7165,1325631726908.439500,49.9435386657715
7166,1325631726958.430660,49.9954223632813
7167,1325631727008.439500,50.0198364257813
7168,1325631727058.475480,49.9954223632813
7169,1325631727108.494060,49.9954223632813
7170,1325631727158.436680,49.9710083007813
7171,1325631727208.440800,49.9954223632813
7172,1325631727258.443220,49.9954223632813
7173,1325631727308.437440,49.9710083007813
7174,1325631727358.487620,50.0198364257813
7175,1325631727408.462740,49.9435386657715
7176,1325631727458.434220,50.0198364257813
7177,1325631727508.428720,50.0198364257813
7178,1325631727558.430140,49.9954223632813
7179,1325631727608.467320,49.9954223632813
7180,1325631727658.454000,49.9435386657715
7181,1325631727708.469260,49.9954223632813
7182,1325631727758.440820,49.9710083007813
7183,1325631727808.447620,50.0198364257813
7184,1325631727858.472880,49.9954223632813
7185,1325631727908.440100,49.9954223632813
7186,1325631727958.437080,50.0198364257813
7187,1325631728008.435980,50.0442504882813
7188,1325631728058.457100,49.9954223632813
7189,1325631728108.462480,49.9954223632813
7190,1325631728158.481400,49.9710083007813
7191,1325631728208.464240,49.9954223632813
7192,1325631728258.472120,49.9710083007813
7193,1325631728308.429260,49.9954223632813
7194,1325631728358.473520,50.0198364257813
7195,1325631728408.446360,49.9710083007813
7196,1325631728458.508340,49.9954223632813
7197,1325631728508.466800,49.9954223632813
7198,1325631728558.434480,50.0198364257813
7199,1325631728608.465020,50.0198364257813
7200,1325631728658.440720,49.9435386657715
7201,1325631728708.424220,49.9954223632813
7202,1325631728758.441640,49.9954223632813
7203,1325631728808.444700,49.9954223632813
7204,1325631728858.498580,49.9710083007813
7205,1325631728908.448880,49.9710083007813
7206,1325631728958.428520,49.9954223632813
